"名称","No","説明","備考","ファイル名（1枚目）","ファイル名（２枚目）","ファイル名（３枚目）","経度","緯度","分類"
"野上八幡神社","49","野上八幡宮は550年代に欽明天皇の宣命により創建された由緒ある神社で、本殿をはじめとする社殿の多くは国の重要文化財に指定されています。<br>朱色が鮮やかな本殿には四季折々の風景がよく映え、趣きがあります。また、高台に鎮座しているため眺めがとてもよく心地良い場所です。(2010.12.6)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/49.jpg","","","135.294398999937","34.1665049999268","きのくに風景讃歌"
"高野山町石道","50","江戸時代までは時間をかけて厳しい登山道を登りました。７カ所ある登山道の中で最も良く利用されたのが、九度山町の慈尊院から高野に至る町石道です。始まりは、弘法大師が木製の五輪卒塔婆を１町(約109ｍ)ごとに建立したものとされています。鎌倉時代に今日見るような立派な石造りの町石(五輪卒塔婆)が建立されました。高野山の大伽藍を起点として、慈尊院に至る区間に180本が、ほぼ完全な形で今日まで残っています。途中の120町石目には「二つ鳥居」があり、ここから天野の里まで下り、丹生都比売神社に参詣してからまた町石道に戻って高野へ向かったと伝えられています。、慈尊院から高野山奥の院までの参詣道が平成16年７月に世界遺産に登録されました。(2010.12.06)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/50.jpg","","","135.55309299993","34.2183319999328","きのくに風景讃歌"
"生石高原","52","生石高原は紀美野町と有田川町にまたがる標高870ｍの山頂一帯になだらかに広がる大草原です。夏から秋にかけて一面にススキが広がる景色には目を奪われ、頂上から360度見渡せる自然の景色には圧倒されます。<br>展望台やアスレチックがあり、ハイキングなど自然を楽しむことができます。山の家おいしでは景色をみながらの軽食やお土産選びができます。(2010.12.6)<br>","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/52.jpg","","","135.322765999932","34.1137939999289","きのくに風景讃歌"
"十三神社","53","延暦３年（784年）に建立されたと伝えられている十三神社は13の神々をお祀りすることからこの名がついたと言われています。<br>国指定文化財となっている社殿は、中世の建築様式を今に伝える重要な神社といえます。随所に施された彫刻を含め、色鮮やかな色彩が美しく、近くを流れる貴志川のせせらぎに心洗われるような場所です。(2010.12.6)","< 駐車場 > なし<BR>< 連絡先 > 073-489-5910（紀美野町教育委員会総務学事課）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/53.jpg","","","135.351058000024","34.1472399998577","きのくに風景讃歌"
"みさと天文台","54","みさと天文台には口径105cmの反射望遠鏡があり、紀美野町ならではの美しい夜空を観測することができます。<br>星座にはペガサスや白鳥などの動物の名前が多いため、夜空は星の動物園のようだということで、みさと天文台には「星の動物園」という愛称がつけられています。<br>豊かな自然の中できらめく星と共にゆったりとした時間を過ごすと、身も心も癒されることでしょう。(2010.12.6)<br><br>[望遠鏡について]<br>口径105cmの西村製作所製の反射望遠鏡は、6億円をかけて購入されて1995年7月7日の七夕の夜に公開されました。<br>公開天文台としては当時日本一の口径を誇りましたが、現在では8位になっています。<br>望遠鏡のドームは「星の塔」の上にあり、ドームの周囲には展望デッキが設けられています。<br>望遠鏡での観望と展望デッキで眼視での星空の観望が並行してして行えるので、天文教育には適しています。","< 料金 > 観望会：一般200円、小・中・高生100円<BR>< 時間 > 観望会:　<BR>1回目　PM7:30より開始<BR>　 (水、木、金、土、日、祝日)<BR>2回目　PM8:30より開始 (金、土のみ)<BR>都合により、開催回数が変更となる場合がありますので、お出かけ前にみさと天文台にお電話して確認してください。<BR>これ以外に各種イベントもあります。<BR>詳細はホームページをごらんください。<BR>< 定休日 > 月曜日・火曜日（但し祝日にあたる場合は順延します）<BR>年末年始 （12/27～1/4）<BR>< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/54.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/54_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/54_2.jpg","135.406450999912","34.1446999999387","きのくに風景讃歌"
"琴ノ浦温山荘園","55","温山荘園は、製革業で財をなした新田長次郎氏により大正初期から昭和の初めにかけて別荘として作られた庭園です。「温山荘」の名称は氏の雅号「温山」にちなんで、東郷平八郎元帥により命名されました。氏の没後は「財団法人　琴ノ浦温山荘園」を設立し、当財団が管理にあたっています。<br>和歌山市の「養翠園」と同様に海水を園内に引き入れた「潮入り」になっており、東西２つの大きな海水の池の周りには、国指定の重要文化財(建造物)の主室、茶室、浜座敷が配置された池泉回遊式庭園となっています。園内には当時最新の建材であったコンクリートを使った擬石の飛び石や擬木などが多用されています。また池の西側には陸続きの「矢の島」があり、庭園内に海からの風を通すための手掘りのトンネルまで設けられています。<br>広さは「養翠園」を上回る県内随一の4600平方メートルにも及びます。<br>平成22年（2010年）２月、国指定重要文化財(名勝)に指定されました。(2010.12.6)","< 料金 > 大人400 円<BR>< 時間 > 9:00～17:00（入園は16:30まで）<BR>< 定休日 > 毎週月曜日（祝祭日の場合は翌火曜日）<BR>12月１日～２月末日<BR>< 駐車場 > あり（有料)","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/55.jpg","","","135.194664000071","34.1580009998657","きのくに風景讃歌"
"黒江ぬりもの館","56","黒江のまちなかにある築150年の塗り師の家を、地元の有志が修繕改築して地域活性化のために運営しています。<br>１Ｆは黒江漆り(紀州漆器)製品の展示・販売、２Ｆはギャラリースペースで種々のイベントに活用されています。１Ｆのカフェでは紀州備長炭食用パウダーを使った「紀州黒江バウム」を発売しています。(2010.12.6)","< 料金 > 入場無料(イベントは別途)<BR>< 時間 > 10:00～16：00<BR>< 定休日 > 毎週月・火曜日<BR>< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/56.jpg","","","135.204926000014","34.161631999785","きのくに風景讃歌"
"藤白神社","57","藤白神社は、万葉時代に斉明天皇が紀の湯（現在の白浜町）に行幸した際、この地を訪れ創建されたと伝えられています。 藤白王子は熊野へ参拝する上皇や法皇が道中、潔斎を行うために設けられた、熊野九十九王子社の中で最も格式の高い五躰王子の一つとされ、熊野御幸の際には必ず宿泊や催事が行われており、現在は藤白神社となっています。ここは熊野一の鳥居とされ、熊野聖域への入口と言われています。<br>子授けや安産・健康長寿など深い信仰を集め、また鈴木姓の方の氏神様としても有名な神社です。(2010.12.6)","< 料金 > 拝観無料<BR>< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/57.jpg","","","135.209384000098","34.1443629998834","きのくに風景讃歌"
"森林公園　雨の森","58","雨の森は親しみやすい自然環境と森林の保全を考え整備された森林公園です。展望台からの景色は海南市や和歌山市が一望できる大パノラマで圧巻です。<br>また夜には、夜景と星空が美しく和歌山で指折りの夜景スポットです。(2010.12.6)","< 駐車場 > あり（無料）<BR>< 連絡先 > 073-484-2326（海南市物産観光センター）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/58.jpg","","","135.243393999984","34.1389239999358","きのくに風景讃歌"
"海南市わんぱく公園","59","海南市わんぱく公園は自由に遊べるみんなの裏山として子どもから大人まで楽しめる公園です。<br>雨の日でも楽しめるように室内には様々な遊具があり、特に風の子館にある、網が張り巡らされた巨大な遊具は大人気です。<br>公園内には池や山、森があり、季節の草花を鑑賞したり小鳥のさえずりを聞いたり、自然に触れることができます。(2010.12.6)","< 料金 > 無料<BR>< 時間 > 9：00～17：00<BR>< 定休日 > 毎週月曜日（祝日の場合は翌日の平日）<BR>< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/59.jpg","","","135.233266000128","34.1584979999443","きのくに風景讃歌"
"亀池公園","60","亀池は紀州流土木工法の祖として多くの功績を残した井沢弥惣兵衛（現在の海南市野上新出身）が、江戸時代に約３カ月という短期間で完成させた県内最大規模の池です。<br>池の中島には、昭和43年（1968年）に移築された紀州徳川家の別邸である双青閣があり、趣きがあります。池の周りには遊歩道や広場があり、春には桜の名所として賑わいます。(2010.12.6)<br><br>","< 料金 > 無料<BR>< 定休日 > なし<BR>< 駐車場 > あり（無料）<BR>< 連絡先 > 073-483-8460（海南市産業振興課）<BR>073-484-2326（海南市物産観光センター）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/60.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/60_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/60_2.jpg","135.260367000063","34.1564559999133","きのくに風景讃歌"
